input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue
Che: Part One,Unknown,True,8881.0,Che: Part One,2008-09-05,134.0,Drama; History; War,Steven Soderbergh,Benicio del Toro; Demián Bichir; Santiago Cabrera; Vladimir Cruz; Alfredo de Quesada; Jsu Garcia; Kahlil Méndez; Elvira Mínguez; Andres Munar; Julia Ormond,hero; central intelligence agency (cia); cuba; biography; che guevara; fidel castro; cuban revolution; 1950s,Wild Bunch; Telecinco Cinema; Laura Bickford Productions; Morena Films,en,58000000.0,0.0
Cheap Thrills,Unknown,True,175291.0,Cheap Thrills,2013-03-08,88.0,Comedy; Crime; Drama; Thriller,E.L. Katz,Pat Healy; Ethan Embry; Sara Paxton; David Koechner; Amanda Fuller; Laura Covelli; Elissa Dowling; Todd Farmer; Eric Neil Gutierrez; Sam Ketcherside,cocaine; dark comedy; challenge; vomit; birthday party; strip club; money; murder; mechanic; extramarital affair; dead dog; money problems; human excrement; defecating; eating one's finger; bar,Snowfort Pictures; New Artists Alliance,en,200000.0,0.0
Che: Part Two,Unknown,True,8880.0,Che: Part Two,2008-12-12,135.0,Drama; History; War,Steven Soderbergh,Benicio del Toro; Carlos Bardem; Demián Bichir; Joaquim de Almeida; Pablo Durán; Eduard Fernández; Marc-André Grondin; Óscar Jaenada; Kahlil Méndez; Cristian Mercado,"hero; central intelligence agency (cia); cuba; biography; che guevara; bolivian army; la paz, bolivia",Wild Bunch; Telecinco Cinema; Laura Bickford Productions; Morena Films,en,58000000.0,8638163.0
Cheaper by the Dozen,2003.0,True,11007.0,Cheaper by the Dozen,2003-12-24,98.0,Comedy; Family; Drama,Shawn Levy,Steve Martin; Bonnie Hunt; Piper Perabo; Tom Welling; Hilary Duff; Kevin G. Schmidt; Alyson Stoner; Jacob Smith; Liliana Mumy; Morgan York,"chicago, illinois; husband wife relationship; based on novel or book; american football coach; big family; family relationships; remake; sibling; new job; aspiring actor; smart kid; father son relationship; sister sister relationship; large family; brother brother relationship",20th Century Fox; Robert Simonds Productions,en,40000000.0,190212113.0
Cheaper by the Dozen 2,Unknown,True,9641.0,Cheaper by the Dozen 2,2005-12-21,94.0,Comedy; Family; Adventure,Adam Shankman,Steve Martin; Eugene Levy; Bonnie Hunt; Tom Welling; Piper Perabo; Hilary Duff; Carmen Electra; Jaime King; Taylor Lautner; Alyson Stoner,"chicago, illinois; lake; husband wife relationship; based on novel or book; holiday; competition; forbidden love; big family; father; family relationships; rivalry; labor pain; family vacation; family holiday; large family",20th Century Fox; 21 Laps Entertainment,en,60000000.0,129181830.0
Chasing Amy,Unknown,True,2255.0,Chasing Amy,1997-04-04,114.0,Comedy; Drama; Romance,Kevin Smith,Ben Affleck; Joey Lauren Adams; Jason Lee; Dwight Ewell; Jason Mewes; Kevin Smith; Ethan Suplee; Scott Mosier; Casey Affleck; Matt Damon,coming out; new jersey; love of one's life; bisexuality; menage a trois; comic book; comic-strip artist; best friend; lgbt; lesbian,View Askew Productions; Miramax,en,250000.0,12021272.0
Chelsea Peretti: One of the Greats,Unknown,True,289339.0,Chelsea Peretti: One of the Greats,2014-06-13,74.0,Comedy,Lance Bangs,Chelsea Peretti; Yassir Lester; Moshe Kasher; Esther Povitsky; Brendon Walsh; John Howard Swain; William Armando,,New Wave Entertainment Television,en,0.0,0.0
Chernobyl,Unknown,True,859341.0,Chernobyl,2005-01-01,0.0,Documentary,Ellen Windemuth; Marion Pöllmann,,,,de,0.0,0.0
Chicago,Unknown,True,128298.0,Chicago,1927-12-23,103.0,Comedy; Drama; Crime,Frank Urson,Phyllis Haver; Victor Varconi; Virginia Bradford; Robert Edeson; Eugene Pallette; Warner Richmond; T. Roy Barnes; Clarence Burton; Julia Faye; May Robson,,DeMille Pictures Corporation,en,0.0,0.0
Chemical Hearts,Unknown,True,621013.0,Chemical Hearts,2020-08-21,93.0,Drama; Romance,Richard Tanne,Austin Abrams; Lili Reinhart; Sarah Jones; Bruce Altman; Adhir Kalyan; Coral Peña; Shannon Walsh; Kara Young; Meg Gibson; C.J. Hoff,high school; based on young adult novel; teenager; pretentious,Page Fifty-Four Pictures; Awesomeness Films; Big Indie Pictures,en,0.0,0.0
Chi-Raq,Unknown,True,340275.0,Chi-Raq,2015-12-04,127.0,Drama; Crime; Comedy,Spike Lee,Teyonah Parris; Nick Cannon; Wesley Snipes; Angela Bassett; Samuel L. Jackson; John Cusack; Jennifer Hudson; David Patrick Kelly; D. B. Sweeney; Dave Chappelle,"chicago, illinois",Amazon Studios; 40 Acres and a Mule Filmworks,en,0.0,0.0
Chicken Little,2005.0,True,9982.0,Chicken Little,2005-11-04,81.0,Animation; Family; Comedy,Mark Dindal,Zach Braff; Garry Marshall; Don Knotts; Amy Sedaris; Steve Zahn; Joan Cusack; Patrick Stewart; Fred Willard; Catherine O'Hara; Wallace Shawn,fish; small town; space marine; superhero; chicken; cartoon; alien; coming of age; computer animation; best friend; alien invasion; animals; duringcreditsstinger; spaceship; talking animal; 3d animation; awestruck,Walt Disney Pictures; Walt Disney Feature Animation,en,150000000.0,314400000.0
Chef,Unknown,True,1367841.0,Chef,2024-10-16,4.0,Documentary,Francisco Quintana; Megan Pérez Rimedio; Martín Sobrino Zamberlin,Mateo Blondont,,Gotham (AR),es,0.0,0.0
Child's Play,2019.0,True,533642.0,Child's Play,2019-06-19,90.0,Horror; Thriller,Lars Klevberg,Mark Hamill; Gabriel Bateman; Aubrey Plaza; Brian Tyree Henry; Tim Matheson; David James Lewis; Beatrice Kitsos; Ty Consiglio; Carlease Burke; Marlon Kazadi,"chicago, illinois; artificial intelligence (a.i.); evil doll; remake; killer doll; slasher; reboot; animatronic; android horror",KatzSmith Productions; Bron Studios; Creative Wealth Media Finance; Oddfellows Entertainment; Orion Pictures,en,10000000.0,44902237.0
Chicken Run,Unknown,True,7443.0,Chicken Run,2000-06-23,84.0,Animation; Comedy; Family,Peter Lord; Nick Park,Julia Sawalha; Mel Gibson; Imelda Staunton; Jane Horrocks; Lynn Ferguson; Miranda Richardson; Tony Haygarth; Benjamin Whitrow; Timothy Spall; Phil Daniels,farm; northern england; escape; freedom; chicken; villain; yorkshire; stop motion; explosion; farmer; female villain; pie machine; claymation; plasticine; royal air force; raf; whimsical,Aardman; DreamWorks Animation; Pathé; DreamWorks Pictures,en,45000000.0,224834564.0
Cherry,2021.0,True,544401.0,Cherry,2021-02-26,142.0,Drama; Crime,Joe Russo; Anthony Russo,Tom Holland; Ciara Bravo; Jack Reynor; Michael Rispoli; Jeffrey Wahlberg; Forrest Goodluck; Michael Gandolfini; Suhail Dabbach; Daniel R. Hill; Fionn O'Shea,post-traumatic stress disorder (ptsd); based on novel or book; war veteran; heroin; drug addiction; bank robber; us army; iraq war veteran; iraq war; army medic,AGBO; The Hideaway Entertainment,en,40000000.0,0.0
Children of the Corn,Unknown,True,25754.0,Children of the Corn,2009-09-26,92.0,Horror; Thriller; TV Movie,Donald P. Borchers,David Anders; Kandyse McClure; Daniel Newman; Preston Bailey; Robert Gerdisch; Jordan Schmidt; Jake White; Zita Vass; Ryan Bertroche; Lexie Behr,ritual; king,Children of the Corn Productions; Planet Productions,en,4500000.0,0.0
Children of Men,Unknown,True,9693.0,Children of Men,2006-09-22,109.0,Drama; Action; Thriller; Science Fiction,Alfonso Cuarón,Clive Owen; Clare-Hope Ashitey; Chiwetel Ejiofor; Julianne Moore; Michael Caine; Pam Ferris; Charlie Hunnam; Danny Huston; Peter Mullan; Oana Pellea,future; government; police state; based on novel or book; hippie; england; faith; chaos; refugee camp; rebel; dystopia; miracle; childlessness; survival; birth; alcoholic; bombing; dying; terrorist group; fertility; soldiers; violence,Universal Pictures; Strike Entertainment; Hit & Run Productions,en,76000000.0,70595464.0
Child's Play,Unknown,True,82465.0,Child's Play,1972-12-12,100.0,Drama; Mystery; Thriller,Sidney Lumet,James Mason; Robert Preston; Beau Bridges; Ron Weyand; Charles White; David Rounds; Kate Harrington; Jamie Alexander; Brian Chapin; Bryant Fraser,boarding school; school teacher; boys' school,Paramount Pictures,en,0.0,44196343.0
Chimes at Midnight,Unknown,True,986.0,Chimes at Midnight,1965-12-22,115.0,Comedy; Drama; History; War,Orson Welles,Orson Welles; Keith Baxter; John Gielgud; Jeanne Moreau; Margaret Rutherford; Marina Vlady; Walter Chiari; Michael Aldridge; Tony Beckley; Jeremy Rowe,double life; england; generations conflict; virtue; king henry iv; vice; 15th century,Internacional Films Espagnol; Alpine Productions; Peppercorn-Wormser Inc,en,800000.0,0.0
Child's Play 2,Unknown,True,11186.0,Child's Play 2,1990-11-09,84.0,Horror; Thriller,John Lafia,Alex Vincent; Brad Dourif; Christine Elise; Jenny Agutter; Gerrit Graham; Grace Zabriskie; Peter Haskell; Beth Grant; Greg Germann; Raymond Singer,factory; voodoo; foster parents; faithlessness; evil doll; murder; killer doll; serial killer; slasher; foster sister; foster family; doll; foster child; evil; foster home; killer toys; toy comes to life; toy factory; possessed doll; foster mom; supernatural power; horrified,Universal Pictures; David Kirschner Productions,en,13000000.0,35763605.0
Chicken Run: Dawn of the Nugget,Unknown,True,520758.0,Chicken Run: Dawn of the Nugget,2023-12-08,101.0,Family; Animation; Adventure; Comedy,Sam Fell,Thandiwe Newton; Zachary Levi; Bella Ramsey; Imelda Staunton; Lynn Ferguson; David Bradley; Jane Horrocks; Romesh Ranganathan; Daniel Mays; Josie Sedgwick-Davies,rescue; chicken; villain; sequel; stop motion; animals; reboot; claymation; plasticine; arrogant,Aardman,en,0.0,0.0
Chinatown,Unknown,True,829.0,Chinatown,1974-06-20,130.0,Crime; Drama; Mystery; Thriller,Roman Polanski,Jack Nicholson; Faye Dunaway; John Huston; Perry Lopez; John Hillerman; Diane Ladd; Roman Polanski; Roy Jenson; Richard Bakalyan; James Hong,"dying and death; sea; pedophilia; rape; mistake in person; river; chinatown; barrage; femme fatale; conspiracy; whodunit; los angeles, california; private detective; neo-noir",Paramount Pictures; Long Road Productions; Robert Evans Productions,en,6000000.0,30000000.0
Chitty Chitty Bang Bang,Unknown,True,11708.0,Chitty Chitty Bang Bang,1968-12-17,144.0,Family; Music; Adventure; Fantasy; Comedy,Ken Hughes,Dick Van Dyke; Sally Ann Howes; Lionel Jeffries; Gert Fröbe; Anna Quayle; Benny Hill; James Robertson Justice; Robert Helpmann; Barbara Windsor; Davy Kaye,flying car; inventor; oldtimer; steampunk; benny hill,United Artists; Dramatic Features; Warfield,en,10000000.0,7500445.0
Child's Play 3,Unknown,True,11187.0,Child's Play 3,1991-08-30,90.0,Horror; Thriller,Jack Bender,Justin Whalin; Brad Dourif; Perrey Reeves; Jeremy Sylvers; Travis Fine; Dean Jacobson; Peter Haskell; Dakin Matthews; Andrew Robinson; Burke Byrnes,voodoo; recruit; evil doll; killer doll; serial killer; slasher; military academy; killer toys; toy comes to life; war game; possessed doll; supernatural power,Universal Pictures,en,13000000.0,20560255.0
Choose or Die,Unknown,True,838484.0,Choose or Die,2022-04-15,85.0,Horror; Thriller; Science Fiction,Toby Meakins,Iola Evans; Asa Butterfield; Robert Englund; Angela Griffin; Ryan Gage; Eddie Marsan; Kate Fleetwood; Pete MacHale; Kayleen Aires Fonseca; Caroline Loncq,computer; video game; cleaning lady; prize; tech noir; quest; 1980s; cursed; pool,Anton; Stigma Films,en,0.0,0.0
Chocolat,Unknown,True,41951.0,Chocolat,1988-05-18,101.0,Drama,Claire Denis,Isaach de Bankolé; Giulia Boschi; François Cluzet; Jean-Claude Adelin; Laurent Arnal; Jean Bédiébé; Jean-Quentin Châtelain; Emmanuelle Chaulet; Kenneth Cranham; Jacques Denis,africa; sexual tension; colonialism; semi autobiographical; woman director; cameroon; 1950s,Cinémanuel; Cerito Films; Caroline Production; La Sept Cinéma; Le F.O.D.I.C. Cameroun; MK2 Films; TF1 Films Production; Wim Wenders Productions,fr,0.0,0.0
Christine,1983.0,True,8769.0,Christine,1983-12-09,110.0,Horror,John Carpenter,Keith Gordon; John Stockwell; Alexandra Paul; Robert Prosky; Harry Dean Stanton; Christine Belford; Roberts Blossom; William Ostrander; David Spielberg; Malcolm Danare,"plymouth; anthropomorphism; detroit, michigan; bulldozer; overprotective parent; vexed; inanimate objects come to life; playful; vindictive; distressing; harsh; plymouth%20fury",Columbia Pictures; Polar Film,en,9700000.0,21200000.0
Chopping Mall,Unknown,True,28941.0,Chopping Mall,1986-03-21,77.0,Horror; Science Fiction,Jim Wynorski,Kelli Maroney; Tony O'Dell; Russell Todd; Karrie Emerson; Barbara Crampton; Nick Segal; John Terlesky; Suzee Slater; Paul Bartel; Mary Woronov,laser; shopping mall; remote control; robot; struggle for survival; group of friends; mall; lockdown; trapped in building; falling; android horror,Trinity Pictures; Concorde Pictures,en,800000.0,0.0
Chip 'n Dale: Rescue Rangers,Unknown,True,420821.0,Chip 'n Dale: Rescue Rangers,2022-05-20,99.0,Animation; Family; Comedy; Adventure; Mystery,Akiva Schaffer,Andy Samberg; John Mulaney; KiKi Layne; Will Arnett; Eric Bana; Flula Borg; Dennis Haysbert; Keegan-Michael Key; Tress MacNeille; Tim Robinson,"cartoon; peter pan; los angeles, california; former best friend; missing person; duringcreditsstinger; live action and animation; bootleg; corrupt cop",Walt Disney Pictures; Mandeville Films,en,70000000.0,623190.0
Christmas in Connecticut,Unknown,True,55596.0,Christmas in Connecticut,1992-12-22,93.0,Comedy; Romance; TV Movie,Arnold Schwarzenegger,Dyan Cannon; Kris Kristofferson; Tony Curtis; Richard Roundtree; Kelly Cinnante; Gene Lythgow; Sonny Carl Davis; Jimmy Workman; Bob Braun; Arnold Schwarzenegger,holiday; connecticut; christmas,,en,0.0,0.0
Christmas Eve in Miller’s Point,Unknown,True,1073650.0,Christmas Eve in Miller’s Point,2024-11-08,107.0,Drama; Comedy,Tyler Taormina,Matilda Fleming; Maria Dizzia; Ben Shenkman; Francesca Scorsese; Elsie Fisher; Michael Cera; Gregg Turkington; Sawyer Spielberg; Chris Lazzaro; Leo Chan,christmas,Omnes Films; Dweck Productions; Crypto Castle Productions; Puente Films; Parsifal Pictures; NOIZ Entertainment,en,0.0,151444.0
Chloe,Unknown,True,179641.0,Chloé,1996-06-11,105.0,Romance; Drama,Dennis Berry,Marion Cotillard; Anna Karina; Nozha Khouadra; Jean-Claude Adelin; Arache Mansour; Elisabeth von Buxhoeveden; Caroline Pevee; Olivier Polgen; Jean-Marie Gelon; Anne Deleuze,prostitute; love; teenage girl; female protagonist; prostitution; teenage prostitute; mother daughter estrangement,Le Bureau; France 2,fr,0.0,0.0
Chungking Express,Unknown,True,11104.0,Chungking Express,1994-07-14,103.0,Drama; Comedy; Romance,Wong Kar-wai,Brigitte Lin; Tony Leung; Faye Wong; Takeshi Kaneshiro; Valerie Chow; Piggy Chan Kam-Chuen; Kwan Lee-Na; Leung San; Zhiming Huang; Liang Zhen,drug smuggling; police; ex-girlfriend; girlfriend; snack bar; romance; hong kong; expiration date; flight attendant; cleaning; relaxed; hilarious; romantic; joyful,Jet Tone Production,cn,160000.0,0.0
Christmas with the Kranks,Unknown,True,13673.0,Christmas with the Kranks,2004-11-24,99.0,Comedy; Family,Joe Roth,Tim Allen; Jamie Lee Curtis; Dan Aykroyd; M. Emmet Walsh; Elizabeth Franz; Erik Per Sullivan; Cheech Marin; Jake Busey; Austin Pendleton; Tom Poston,"chicago, illinois; husband wife relationship; based on novel or book; holiday; christmas party; christmas tree; christmas; sentimental; hilarious; celebratory; joyful",Revolution Studios; 1492 Pictures,en,60000000.0,0.0
Ciao Alberto,Unknown,True,876716.0,Ciao Alberto,2021-11-11,7.0,Animation; Comedy; Family; Fantasy,McKenna Jean Harris,Jack Dylan Grazer; Marco Barricelli; Jacob Tremblay; Gino La Monica; Arturo Sorino,sea; boat; mentor; pasta; short film; silence,Walt Disney Pictures; Pixar,en,45223.0,0.0
Christine,2016.0,True,339405.0,Christine,2016-10-14,123.0,Drama,Antonio Campos,Rebecca Hall; Michael C. Hall; Tracy Letts; Maria Dizzia; J. Smith-Cameron; Timothy Simons; Kim Shaw; John Cullum; Morgan Spector; Jayson Warner Smith,"depression; florida; suicide; 1970s; biography; based on true story; news broadcaster; female reporter; suicide by gun; driven to suicide; sarasota, florida",Great Point Media; BorderLine Films; Fresh Jade,en,0.0,313465.0
Chronicle,Unknown,True,76726.0,Chronicle,2012-02-01,84.0,Science Fiction; Drama; Thriller,Josh Trank,Dane DeHaan; Alex Russell; Michael B. Jordan; Michael Kelly; Ashley Grace; Bo Petersen; Anna Wood; Rudi Malcolm; Luke Tyler; Crystal-Donna Roberts,"friendship; flying; seattle, washington; telekinesis; coming of age; outcast; loneliness; super power; found footage; aftercreditsstinger; abuse; teenager; intense; assertive; joyful; 超能失控",Dune Entertainment; Davis Entertainment; Adam Schroeder Productions; 20th Century Fox,en,15000000.0,145000000.0
Christopher Robin,Unknown,True,420814.0,Christopher Robin,2018-08-01,104.0,Adventure; Comedy; Family; Fantasy,Marc Forster,Ewan McGregor; Hayley Atwell; Bronte Carmichael; Jim Cummings; Brad Garrett; Nick Mohammed; Toby Jones; Peter Capaldi; Sophie Okonedo; Sara Sheen,forest; family; animals; magic realism; childhood; live action and animation; father daughter relationship; live action remake; adulthood,Walt Disney Pictures; 2DUX²,en,75000000.0,99138899.0
Cigarettes & Coffee,Unknown,True,107380.0,Cigarettes & Coffee,1993-08-03,24.0,Drama; Crime,Paul Thomas Anderson,Kirk Baltz; Philip Baker Hall; Scott Coffey; Kim Gillingham; Miguel Ferrer; Michael Harris; Jennifer Kaplan; Bonnie Fidelman,,Hex Films,en,20000.0,0.0
Christmas Bloody Christmas,Unknown,True,1019836.0,Christmas Bloody Christmas,2022-12-09,87.0,Horror,Joe Begos,Riley Dandy; Sam Delich; Jonah Ray Rodrigues; Dora Madison; Jeff Daniel Phillips; Abraham Benrubi; Jeremy Gardner; Kansas Bowling; Graham Skipper; Joe Begos,sheriff; killer robot; mass murder; car crash; murder; slasher; robot; explosion; axe murder; toy store; killer santa claus; christmas horror; christmas; animatronic; christmas eve; bar; record store; android horror,Channel 83 Films,en,0.0,0.0
Cinderella,Unknown,True,150689.0,Cinderella,2015-03-06,105.0,Romance; Fantasy; Family; Drama,Kenneth Branagh,Lily James; Cate Blanchett; Richard Madden; Stellan Skarsgård; Holliday Grainger; Sophie McShera; Derek Jacobi; Helena Bonham Carter; Nonso Anozie; Ben Chaplin,magic; kingdom; fairy tale; prince; royalty; orphan; lost shoe; evil stepmother; based on fairy tale; retelling; live action and animation; live action remake,Walt Disney Pictures; Genre Films; Beagle Pug Films; Allison Shearmur Productions,en,95000000.0,543514353.0
Cinderella III: A Twist in Time,Unknown,True,16119.0,Cinderella III: A Twist in Time,2007-02-06,74.0,Animation; Romance; Family; Fantasy,Frank Nissen,Jennifer Hale; Christopher Daniel Barnes; Susanne Blakeslee; Tress MacNeille; Russi Taylor; Andre Stojka; Holland Taylor; Rob Paulsen; Corey Burton; Frank Welker,magic; fairy; cartoon; prince; musical; sequel; fairy godmother,DisneyToon Studios,en,0.0,0.0
Cinderella,2015.0,True,150689.0,Cinderella,2015-03-06,105.0,Romance; Fantasy; Family; Drama,Kenneth Branagh,Lily James; Cate Blanchett; Richard Madden; Stellan Skarsgård; Holliday Grainger; Sophie McShera; Derek Jacobi; Helena Bonham Carter; Nonso Anozie; Ben Chaplin,magic; kingdom; fairy tale; prince; royalty; orphan; lost shoe; evil stepmother; based on fairy tale; retelling; live action and animation; live action remake,Walt Disney Pictures; Genre Films; Beagle Pug Films; Allison Shearmur Productions,en,95000000.0,543514353.0
Circle,2015.0,True,335866.0,Circle,2015-05-28,86.0,Horror; Science Fiction; Mystery; Thriller,Aaron Hann; Mario Miscione,Julie Benz; Carter Jenkins; Cesar Garcia; Mercy Malick; Lisa Pelikan; Molly Jackson; Sara Sanderson; Michael Nardelli; Lawrence Kao; Fay DeWitt,survival; murder; morality; voting; alien abduction; execution; struggle for survival; survival horror; stranger; death match; no memory; circle; science fiction; death game; horror; mystery; thriller,Votiv Films; Taggart Productions; Felt Films,en,250000.0,0.0
Citizen Kane,Unknown,True,15.0,Citizen Kane,1941-04-17,119.0,Mystery; Drama,Orson Welles,Orson Welles; Joseph Cotten; Dorothy Comingore; Ray Collins; George Coulouris; Agnes Moorehead; Paul Stewart; Ruth Warrick; Erskine Sanford; William Alland,media tycoon; florida; art collector; newspaper; capitalist; journalist; sleigh; banker; american dream; failure; money; black and white; told in flashback; snowglobes; kids; serious; based on real person,Mercury Productions; RKO Radio Pictures,en,839727.0,23218000.0
Cinderella II: Dreams Come True,Unknown,True,14128.0,Cinderella II: Dreams Come True,2002-02-23,74.0,Family; Animation; Romance; Fantasy,John Kafka,Jennifer Hale; Rob Paulsen; Corey Burton; Andre Stojka; Russi Taylor; Susanne Blakeslee; Tress MacNeille; Holland Taylor; Christopher Daniel Barnes; Frank Welker,princess; magic; fairy; cartoon; musical; anthology; sequel; anthropomorphism; family; cartoon mouse; fairy godmother; baker,Walt Disney Animation Japan; Disney Television Animation,en,5000000.0,0.0
Cinema Paradiso,Unknown,True,11216.0,Cinema Paradiso,1988-11-17,124.0,Drama; Romance,Giuseppe Tornatore,Philippe Noiret; Jacques Perrin; Marco Leonardi; Salvatore Cascio; Agnese Nano; Antonella Attili; Pupella Maggio; Enzo Cannavale; Isa Danieli; Leo Gullotta,"parent child relationship; sicily, italy; movie business; kiss; coming of age; flashback; magic realism; haunted by the past; censorship; nuovo cinema paradiso; movie theater; comforting; compassionate",RAI; Tre Forum; Les Films Ariane; TF1 Films Production,it,5000000.0,11990401.0
Cinderella,2021.0,True,593910.0,Cinderella,2021-09-03,113.0,Fantasy; Romance; Comedy,Kay Cannon,Camila Cabello; Nicholas Galitzine; Idina Menzel; Billy Porter; Pierce Brosnan; Minnie Driver; Maddie Baillio; Charlotte Spencer; Tallulah Greive; James Acaster,musical; evil stepmother; woman director; fairy godmother; human becoming an animal; happy ending; cinderella; jukebox musical; cinderella story; romantic fantasy,Fulwell 73 Productions; Columbia Pictures,en,0.0,0.0
Cinderella Man,Unknown,True,921.0,Cinderella Man,2005-06-02,144.0,Romance; Drama; History,Ron Howard,Russell Crowe; Renée Zellweger; Paul Giamatti; Craig Bierko; Paddy Considine; Bruce McGill; David Huband; Connor Price; Ariel Waller; Patrick Louis,daughter; transporter; sports; world cup; irish-american; socially deprived family; boxer; family's daily life; affectation; netherlands; comeback; defeat; training; heavy weight; folk hero; biography; boxing,Universal Pictures; Miramax; Imagine Entertainment; Parkway Productions; Brian Grazer Productions,en,88000000.0,108539911.0
City Lights,Unknown,True,901.0,City Lights,1931-02-06,87.0,Comedy; Drama; Romance,Charlie Chaplin,Charlie Chaplin; Virginia Cherrill; Florence Lee; Harry Myers; Al Ernest Garcia; Hank Mann; Albert Austin; Eddie Baker; Henry Bergman; Buster Brodie,blindness and impaired vision; eye operation; operation; love of one's life; suicide attempt; flower shop; flower girl; tramp; love; black and white; millionaire; silent film; blind girl; boxing; feel good; comforting,Charles Chaplin Productions,en,1500000.0,4250000.0
Citizen Ruth,Unknown,True,13891.0,Citizen Ruth,1996-11-21,104.0,Drama; Comedy,Alexander Payne,Laura Dern; Swoosie Kurtz; Kurtwood Smith; Mary Kay Place; Kelly Preston; M.C. Gainey; Kenneth Mars; David Graf; Kathleen Noone; Tippi Hedren,judge; drug addiction; extremist; abortion,Miramax; Independent Pictures,en,3000000.0,285112.0
Cirque du Freak: The Vampire's Assistant,Unknown,True,24418.0,Cirque du Freak: The Vampire's Assistant,2009-10-23,109.0,Adventure; Fantasy; Action; Thriller,Paul Weitz,Chris Massoglia; John C. Reilly; Josh Hutcherson; Patrick Fugit; Salma Hayek Pinault; Jessica Carlson; Michael Cerveris; Ray Stevenson; Morgan Saylor; Don McManus,based on novel or book; vampire; spider; wolfman; best friend; antidote; based on young adult novel,Universal Pictures; Relativity Media; Depth of Field,en,40000000.0,28169671.0
Citizenfour,Unknown,True,293310.0,Citizenfour,2014-10-10,114.0,Documentary,Laura Poitras,Edward Snowden; Glenn Greenwald; Laura Poitras; William Binney; Barack Obama; Jacob Appelbaum; Julian Assange; Jeremy Scahill; Kevin Bankston; Ewen MacAskill,national security agency (nsa); information leak; woman director; investigative journalism; whistleblower; surveillance state; observational documentary; mass surveillance; crime documentary; wikileaks and surveillance; fbi surveillance,Praxis Films; Participant; HBO Documentary Films; JustFilms / Ford Foundation; The Bertha Foundation; RADiUS-TWC,en,0.0,3003169.0
City Slickers,Unknown,True,1406.0,City Slickers,1991-06-07,114.0,Comedy; Western,Ron Underwood,Billy Crystal; Daniel Stern; Bruno Kirby; Patricia Wettig; Helen Slater; Lindsay Crystal; Noble Willingham; Jack Palance; Tracey Walter; Josh Mostel,stetson; vacation; cattle drive; prairie; fish out of water; mid-life crisis; lighthearted; sanfermines,Castle Rock Entertainment; Nelson Entertainment; Face Productions; Columbia Pictures,en,27000000.0,179033791.0
City of the Living Dead,Unknown,True,24920.0,City of the Living Dead,1980-08-11,93.0,Horror,Lucio Fulci,Christopher George; Catriona MacColl; Carlo De Mejo; Giovanni Lombardo Radice; Janet Ågren; Antonella Interlenghi; Daniela Doria; Fabrizio Jovine; Luca Venantini; Michele Soavi,suicide; cemetery; supernatural; surrealism; psychic power; priest; zombie; demon; living dead,Medusa Distribuzione; Dania Film; National Cinematografica,it,0.0,0.0
Clash of the Titans,2010.0,True,18823.0,Clash of the Titans,2010-03-26,106.0,Adventure; Fantasy; Action,Louis Leterrier,Sam Worthington; Gemma Arterton; Mads Mikkelsen; Alexa Davalos; Jason Flemyng; Ralph Fiennes; Liam Neeson; Pete Postlethwaite; Polly Walker; Ashraf Barhom,"hades; mythology; greek mythology; zeus; god; mythological beast; medusa; sea monster; perseus; kraken; ancient greece; based on myths, legends or folklore",The Zanuck Company; Legendary Pictures; Thunder Road; Moving Picture Company; Warner Bros. Pictures,en,125000000.0,493214993.0
Class Action Park,Unknown,True,634233.0,Class Action Park,2020-08-22,90.0,Documentary,Seth Porges; Chris Charles Scott III,Chris Gethard; Jason Scott; Jimmy Kimmel; Johnny Knoxville; Alison Becker; John Hodgman; Layne Staley; Jerry Cantrell; Seth Porges,fraud; accidental death; amusement park; injury,"Perennial Media; Pinball Party Productions; strategery, films",en,0.0,0.0
Civil War,2024.0,True,929590.0,Civil War,2024-04-10,109.0,War; Action; Drama,Alex Garland,Kirsten Dunst; Wagner Moura; Cailee Spaeny; Stephen McKinley Henderson; Nelson Lee; Nick Offerman; Jefferson White; Evan Lai; Vince Pisani; Justin James Boykin,"sniper; new york city; race against time; washington dc, usa; the white house; civil war; post-traumatic stress disorder (ptsd); photographer; journalism; dystopia; war photographer; road trip; president; female protagonist; soldier; fictional war; photojournalism; xenophobia; assassination of president; suicide bombing; usa politics; war trauma; mass grave; war journalism; charlottesville; near future; violence; ominous",DNA Films; IPR.VC; A24,en,50000000.0,126542249.0
Claire's Knee,Unknown,True,2860.0,Claire's Knee,1970-12-11,105.0,Drama; Romance,Éric Rohmer,Jean-Claude Brialy; Aurora Cornu; Béatrice Romand; Laurence de Monaghan; Michèle Montel; Gérard Falconetti; Fabrice Luchini; Sandra Franchina,knee; sexual desire,Les Films du Losange,fr,0.0,0.0
Clemency,Unknown,True,565307.0,Clemency,2019-12-27,112.0,Drama,Chinonye Chukwu,Alfre Woodard; Richard Schiff; Aldis Hodge; Wendell Pierce; Danielle Brooks; Michael O'Neill; Richard Gunn; LaMonica Garrett; Vernee Watson-Johnson; Dennis Haskins,prison; death row; lethal injection; prison warden; woman director,ACE Pictures Entertainment; Bronwyn Cornelius Productions; Big Indie Pictures,en,0.0,309776.0
